39.0 pF,0603,C0G/NP0,200.0,±5%,C0603C390J2GACTU,KEMET,5.493,0,
47.0 pF,0402,C0G/NP0,50.0,±5%,C0402C470J5GACTU,KEMET,0.3,561136,
47.0 pF,0603,C0G/NP0,50.0,±5%,C0603C470J5GACTU,KEMET,0.3,366732,
47.0 pF,0805,C0G/NP0,50.0,±5%,C0805C470J5GACTU,KEMET,0.5,373166,
47.0 pF,-1,C0G/NP0,200.0,±5%,C320C470J2G5TA,KEMET,-1,664,
47.0 pF,1206,C0G/NP0,50.0,±5%,C1206C470J5GACTU,KEMET,2.114,70840,
47.0 pF,0805,C0G/NP0,100.0,±5%,C0805C470J1GACTU,KEMET,0.8,14717,
47.0 pF,-1,C0G/NP0,200.0,±5%,C322C470J2G5TA,KEMET,-1,1265,
47.0 pF,0603,C0G/NP0,50.0,±10%,C0603C470K5GACTU,KEMET,0.626,36262,
47.0 pF,0603,C0G/NP0,100.0,±5%,C0603C470J1GACTU,KEMET,0.6,201755,
47.0 pF,-1,C0G/NP0,200.0,±5%,C317C470J2G5TA,KEMET,-1,4084,
47.0 pF,0805,C0G/NP0,200.0,±5%,C0805C470J2GACTU,KEMET,3.6,17152,
47.0 pF,0603,C0G/NP0,200.0,±5%,C0603C470J2GACTU,KEMET,3.8,62118,
47.0 pF,-1,X7R,200.0,±10%,CK05BX470K,KEMET,-1,774,
56.0 pF,0603,C0G/NP0,50.0,±5%,C0603C560J5GACTU,KEMET,0.3,68435,
56.0 pF,0805,C0G/NP0,50.0,±5%,C0805C560J5GACTU,KEMET,0.6,32551,
56.0 pF,1206,C0G/NP0,50.0,±5%,C1206C560J5GACTU,KEMET,4.9,9594,
56.0 pF,0402,C0G/NP0,50.0,±5%,C0402C560J5GACTU,KEMET,0.3,88108,
56.0 pF,0603,C0G/NP0,100.0,±5%,C0603C560J1GACTU,KEMET,3.3,2155,
56.0 pF,0603,C0G/NP0,200.0,±5%,C0603C560J2GACTU,KEMET,3.8,0,
56.0 pF,0805,C0G/NP0,200.0,±5%,C0805C560J2GACTU,KEMET,3.761,11175,
68.0 pF,0603,C0G/NP0,50.0,±5%,C0603C680J5GACTU,KEMET,0.5,80710,
68.0 pF,1206,C0G/NP0,50.0,±5%,C1206C680J5GACTU,KEMET,4.9,13495,
68.0 pF,-1,C0G/NP0,200.0,±5%,C317C680J2G5TA,KEMET,-1,3626,
68.0 pF,-1,C0G/NP0,200.0,±10%,C315C680K2G5TA,KEMET,-1,996,
68.0 pF,-1,C0G/NP0,200.0,±5%,C322C680J2G5TA,KEMET,-1,353,
68.0 pF,0805,C0G/NP0,50.0,±5%,C0805C680J5GACTU,KEMET,0.6,28784,
68.0 pF,0402,C0G/NP0,50.0,±5%,C0402C680J5GACTU,KEMET,0.4,46904,
68.0 pF,0805,C0G/NP0,100.0,±5%,C0805C680J1GACTU,KEMET,3.1,19142,
68.0 pF,0603,C0G/NP0,200.0,±5%,C0603C680J2GACTU,KEMET,3.8,12155,
68.0 pF,0603,C0G/NP0,100.0,±5%,C0603C680J1GACTU,KEMET,0.6,12466,
68.0 pF,-1,C0G/NP0,200.0,±5%,C320C680J2G5TA,KEMET,-1,123,
82.0 pF,0603,C0G/NP0,50.0,±5%,C0603C820J5GACTU,KEMET,0.4,47712,
82.0 pF,0805,C0G/NP0,50.0,±5%,C0805C820J5GACTU,KEMET,0.8,23726,
82.0 pF,0603,C0G/NP0,50.0,±10%,C0603C820K5GACTU,KEMET,2.7,7794,
82.0 pF,0402,C0G/NP0,50.0,±5%,C0402C820J5GACTU,KEMET,0.8,14578,
82.0 pF,1206,C0G/NP0,50.0,±5%,C1206C820J5GACTU,KEMET,4.9,0,
82.0 pF,0402,C0G/NP0,25.0,±5%,C0402C820J3GACTU,KEMET,4.4,11212,
82.0 pF,0603,C0G/NP0,200.0,±5%,C0603C820J2GACTU,KEMET,3.8,7749,
82.0 pF,0603,C0G/NP0,100.0,±5%,C0603C820J1GACTU,KEMET,3.3,0,
82.0 pF,1206,C0G/NP0,200.0,±5%,C1206C820J2GACTU,KEMET,9.083,0,
100 pF,0805,C0G/NP0,50.0,±5%,C0805C101J5GACTU,KEMET,0.5,540199,
100 pF,0603,C0G/NP0,50.0,±5%,C0603C101J5GACTU,KEMET,0.3,1474821,
100 pF,0402,C0G/NP0,50.0,±5%,C0402C101J5GACTU,KEMET,0.3,1762249,
100 pF,0805,C0G/NP0,100.0,±5%,C0805C101J1GACTU,KEMET,0.8,78477,
100 pF,1206,C0G/NP0,50.0,±5%,C1206C101J5GACTU,KEMET,1.3,76431,
100 pF,0805,C0G/NP0,200.0,±5%,C0805C101J2GACTU,KEMET,1.0,48368,
100 pF,-1,C0G/NP0,200.0,±5%,C315C101J2G5TA,KEMET,-1,143,
100 pF,-1,X7R,200.0,±10%,C315C101K2R5TA,KEMET,-1,3220,
100 pF,1206,C0G/NP0,100.0,±5%,C1206C101J1GACTU,KEMET,1.8,12362,
100 pF,0805,C0G/NP0,50.0,±10%,C0805C101K5GACTU,KEMET,0.6,84068,
100 pF,0805,C0G/NP0,500.0,±5%,C0805C101JCGACTU,KEMET,4.2,25654,
100 pF,-1,C0G/NP0,100.0,±10%,C410C101K1G5TA,KEMET,-1,1402,
100 pF,0402,C0G/NP0,25.0,±5%,C0402C101J3GACTU,KEMET,0.4,1016752,
100 pF,0603,C0G/NP0,100.0,±5%,C0603C101J1GACTU,KEMET,0.6,160237,
100 pF,-1,C0G/NP0,200.0,±5%,C320C101J2G5TA,KEMET,-1,1563,
